index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene,b_c,b_e,b_b,b_a,b_d,se_b_c,se_b_e,se_b_b,se_b_a,se_b_d,q_c,q_e,q_b,q_a,q_d
7742,7743,AC3.7,0.412580624995379,0.9950267584352459,-0.16815495784767698,0.205227012702331,5.8223681998798,0.9356418033457691,0.00347793264743902,0.0596992574666448,0.0119396245916447,0.0596992574666448,WBGene00007072,ugt-1,0.53885282158628,-0.34032541963929897,-0.0539595082914749,-0.9620216261808721,-0.625951976299723,0.205227012702331,0.205227012702331,0.205227012702331,0.205227012702331,0.205227012702331,0.1811775329926,0.400401060825337,0.978971044088136,9.44262188775152e-05,0.0692957825458045
3168,3169,C01G6.3,0.133395284222607,0.786274727349971,0.158319498251142,0.10548680673999698,6.17810035476733,0.22797111324528602,0.00277562639852797,0.0139155731957744,0.009684152496473109,0.0139155731957744,WBGene00007225,C01G6.3,-0.292254222013032,0.244269211897844,0.11188326585515301,0.400885261119156,0.347357066665777,0.10548680673999698,0.10548680673999698,0.10548680673999698,0.10548680673999698,0.10548680673999698,0.141121863162793,0.14670017814046601,0.732724591878785,0.00283693020280827,0.038327224678958
881,882,C01G6.8c,0.0140864367677913,0.298418447852813,0.26632404306533103,0.108480018607304,6.6997570932349095,0.299044479459828,0.00580063899478431,0.0118512326607772,0.008044027788250559,0.0118512326607772,WBGene00000289,cam-1,-0.104441183815004,0.268704558537752,0.201849595339526,0.43629560799436606,0.39383595409647293,0.108480018607304,0.108480018607304,0.108480018607304,0.108480018607304,0.108480018607304,0.855219959687216,0.10688232329901598,0.333185653952678,0.00133502873639179,0.0144415812339782
5379,5380,C03A7.11,0.268489690663137,0.9352951805022081,-0.444948711686156,0.402105450186465,3.37613198791542,1.38500594233643,0.1135388915461,0.0615650781419396,0.12899429805839,0.12899429805839,WBGene00015369,ugt-51,-0.132343725808334,-0.42945718033068797,-0.8494776981374599,-1.27042005311492,-1.8582650631638602,0.402105450186465,0.402105450186465,0.402105450186465,0.402105450186465,0.402105450186465,0.990519035440823,0.712340164763317,0.229427890057118,0.0201761528897427,0.000380967777346193
2706,2707,C16A3.6,0.10383391336618099,0.718097442670505,-0.132981166433921,0.0817568663100515,6.56319062909304,0.0139174415968618,0.00168903291559244,0.00619330157850019,0.00833724486766702,0.00833724486766702,WBGene00015811,C16A3.6,-0.10995281207641099,-0.11406259501949198,-0.146193287059526,-0.235450119295561,-0.25119810383959396,0.0817568663100516,0.0817568663100515,0.0817568663100516,0.0817568663100516,0.0817568663100515,0.716848484932386,0.5376827914282609,0.364333965661507,0.0403766676105201,0.065995259603353
4625,4626,C17E4.20,0.22223442143675604,0.8976391406913349,0.155434418537758,0.127341783956996,5.42174852232982,0.0700602720810923,0.0055820567564582105,0.0187418381555673,0.0164482245490849,0.0187418381555673,WBGene00219313,C17E4.20,-0.281308426122477,0.24415803234531303,0.23650848616389103,0.38226254707226204,0.3686889772105689,0.127341783956996,0.127341783956996,0.127341783956996,0.127341783956996,0.127341783956996,0.32572972739909695,0.282703930606421,0.3348463797468039,0.030112948114189,0.0973653752835032
3871,3872,E02C12.13,0.174874765880688,0.8445005956459741,-0.217106604682095,0.16002484355539198,4.82912427429515,0.141056571642216,0.009055342698640329,0.0270758301283951,0.0293565831337514,0.0293565831337514,WBGene00023485,ttr-49,-0.107556723973828,-0.39721846526203797,-0.22486583449701603,-0.5745601294467729,-0.800108345328226,0.16002484355539198,0.16002484355539198,0.16002484355539198,0.16002484355539198,0.16002484355539198,0.922627221381492,0.105700572692164,0.55940297212032,0.00562280571575967,7.00502047833068e-05
6434,6435,F08C6.2b,0.33348992525018,0.9683386563014149,-0.11096575846274401,0.114739750463452,5.9563170263309,0.0625201785233383,0.00581836641290401,0.013929449091719,0.010941236290152001,0.013929449091719,WBGene00017241,pcyt-1,0.322855114759431,-0.176189571454282,0.138587968699243,0.321410304053585,0.36527341209071895,0.114739750463452,0.114739750463452,0.114739750463452,0.114739750463452,0.114739750463452,0.131248429458679,0.462108070814034,0.665300810204514,0.0483371325656227,0.049343547845809
11854,11855,F08G12.1,0.48082173445096205,1.0,-0.21846805903751398,0.30989189323571303,4.15383371209135,1.65608421832563,0.0838990319751172,0.00542792135861851,0.0601504462647046,0.0601504462647046,WBGene00008585,F08G12.1,0.005565520851318471,-0.271049400449822,-0.3952042069688,-3.26321247080068,-2.9899722006545697,0.30989189323571303,0.30989189323571303,0.30989189323571303,0.30989189323571303,0.30989189323571303,1.0,0.7976475400927021,0.6296030752874079,2.05617200951898e-23,7.173738858650329e-19
11919,11920,F13B12.2,0.8721059198897241,1.0,0.0290647482543812,0.18054421144676897,4.607558680438441,0.17360425619962197,0.0113875682868098,0.00916001982335046,0.0375067501435936,0.0375067501435936,WBGene00008730,F13B12.2,0.202732825243536,-0.014434441612413,-0.349484868272497,-0.44708226858783795,-0.529515769852066,0.18054421144676897,0.18054421144676897,0.18054421144676897,0.18054421144676897,0.18054421144676897,0.801953572307688,1.0,0.29943979485668604,0.0976737680412416,0.0898984339122615
539,540,F22E5.17,0.00417254143638883,0.143472710626832,0.27175169220482503,0.0948584043269667,6.205285412357639,0.0701327202583916,0.00221507550209562,0.0112820998050918,0.00955811537637772,0.0112820998050918,WBGene00017712,F22E5.17,-0.19128666076495998,0.17134476591115802,0.15948250980304998,0.30307858033587104,0.32965638468326003,0.0948584043269667,0.0948584043269667,0.0948584043269667,0.0948584043269667,0.0948584043269667,0.405965846365055,0.3318725301938811,0.414029255839725,0.0183567726448277,0.0230908226075651
