wbid,gland cell(WBbt:0003670),epithelial cell(WBbt:0003672),muscle cell(WBbt:0003675),neuron(WBbt:0003679),pharynx(WBbt:0003681),metacorpus(WBbt:0003711),terminal bulb(WBbt:0003732),corpus(WBbt:0003733),mu_int_R(WBbt:0003822),AWCR(WBbt:0003826),AWCL(WBbt:0003827),mu_int_L(WBbt:0003833),ASKR(WBbt:0003883),ASKL(WBbt:0003884),ASIR(WBbt:0003887),ASIL(WBbt:0003888),ASHR(WBbt:0003889),ASHL(WBbt:0003890),ASER(WBbt:0003903),ASEL(WBbt:0003904),ADLR(WBbt:0003995),ADLL(WBbt:0003997),Cell(WBbt:0004017),anal depressor muscle(WBbt:0004292),gon_herm_dtc_P(WBbt:0004506),gon_herm_dtc_A(WBbt:0004520),HSNR(WBbt:0004757),HSNL(WBbt:0004758),lumbar left ganglion neuron(WBbt:0005097),lumbar ganglion left(WBbt:0005098),lateral ganglion right neuron(WBbt:0005100),lateral ganglion right(WBbt:0005101),lateral ganglion left neuron(WBbt:0005102),lateral ganglion left(WBbt:0005103),interneuron(WBbt:0005113),inner labial sensillum(WBbt:0005116),inner labial neuron(WBbt:0005117),gonad(WBbt:0005175),hermaphrodite gonad(WBbt:0005178),ganglion(WBbt:0005189),GABAergic neuron(WBbt:0005190),E lineage cell(WBbt:0005208),dorsal ganglion(WBbt:0005214),touch receptor neuron(WBbt:0005237),ventral ganglion (post)(WBbt:0005264),ventral ganglion (ant)(WBbt:0005266),ventral cord neuron(WBbt:0005300),spermatheca(WBbt:0005319),uterine muscle(WBbt:0005342),anterior ganglion (post)(WBbt:0005371),anterior gonad arm(WBbt:0005374),anterior ganglion(WBbt:0005375),amphid right sensillum(WBbt:0005392),amphid neuron(WBbt:0005394),amphid left sensillum(WBbt:0005395),motor neuron(WBbt:0005409),phasmid right sensillum(WBbt:0005427),phasmid left sensillum(WBbt:0005431),pharyngeal neuron(WBbt:0005439),pharyngeal nervous system(WBbt:0005440),preanal ganglion neuron(WBbt:0005447),pharyngeal muscle cell(WBbt:0005451),pharyngeal cell(WBbt:0005460),posterior lateral right ganglion(WBbt:0005463),posterior lateral left ganglion(WBbt:0005464),posterior gonad arm(WBbt:0005466),outer labial sensillum(WBbt:0005501),lumbar right ganglion neuron(WBbt:0005600),lumbar ganglion right(WBbt:0005601),retrovesicular ganglion(WBbt:0005656),AWC(WBbt:0005672),Tissue(WBbt:0005729),epithelial system(WBbt:0005730),extracellular component(WBbt:0005732),hypodermis(WBbt:0005733),hyp7 syncytium(WBbt:0005734),excretory system(WBbt:0005736),muscular system(WBbt:0005737),body region(WBbt:0005738),tail(WBbt:0005741),digestive tract(WBbt:0005743),alimentary system(WBbt:0005748),coelomic system(WBbt:0005749),coelomocyte(WBbt:0005751),seam cell(WBbt:0005753),interfacial epithelial cell(WBbt:0005754),male-specific(WBbt:0005757),hermaphrodite-specific(WBbt:0005758),sensory neuron(WBbt:0005759),somatic nervous system(WBbt:0005760),accessory cell(WBbt:0005762),Anatomy(WBbt:0005766),pharyngeal-intestinal valve(WBbt:0005767),intestine(WBbt:0005772),rectum(WBbt:0005773),non-striated muscle(WBbt:0005780),smooth muscle(WBbt:0005781),germ line(WBbt:0005784),muscle of the reproductive system(WBbt:0005786),pharyngeal gland cell(WBbt:0005788),pharyngeal segment(WBbt:0005789),intestinal cell(WBbt:0005792),anal sphincter muscle(WBbt:0005798),rectal gland cell(WBbt:0005799),rectal epithelium(WBbt:0005800),excretory cell(WBbt:0005812),body wall musculature(WBbt:0005813),vulval muscle(WBbt:0005821),gonadal sheath cell(WBbt:0005828),ventral nerve cord(WBbt:0005829),chemosensory neuron(WBbt:0005837),odorsensory neuron(WBbt:0005839),dopaminergic neuron(WBbt:0006746),nerve ring(WBbt:0006749),dorsal nerve cord(WBbt:0006750),head neuron(WBbt:0006751),phasmid neuron(WBbt:0006753),tail neuron(WBbt:0006759),uterus(WBbt:0006760),head muscle(WBbt:0006761),blast cell(WBbt:0006783),germ cell(WBbt:0006796),oocyte(WBbt:0006797),ciliated neuron(WBbt:0006816),glutamatergic neuron(WBbt:0006829),serotonergic neuron(WBbt:0006837),cholinergic neuron(WBbt:0006840),excretory secretory system(WBbt:0006850),DTC(WBbt:0006865),sensillum(WBbt:0006929),nerve ring neuron(WBbt:0006974),tail ganglion(WBbt:0006977),embryonic cell(WBbt:0007028),post-embryonic cell(WBbt:0007030),body muscle cell(WBbt:0007810),hermaphrodite somatic gonadal cell(WBbt:0007815),vulval cell(WBbt:0007831),hypodermal cell(WBbt:0007846),syncytium(WBbt:0008074),sex organ(WBbt:0008422),carbon dioxide sensory neuron(WBbt:0008430),mechanosensory neuron(WBbt:0008431),oxygene sensory neuron(WBbt:0008432),uterine epithelial cell(WBbt:0008435),egg-laying apparatus(WBbt:0008587),head motor neuron(WBbt:0008610)
WBGene00000024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000035,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
WBGene00000036,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
WBGene00000037,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
WBGene00000038,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00000039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
WBGene00000040,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000042,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00000044,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000046,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000047,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00000051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000053,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
WBGene00000054,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000055,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
WBGene00000057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
